All                                                [0000]     59.70956
  sz                                               [1000]      0.00042
  diagonalcalc                                     [2000]      0.06825
================================================
All mltply                                         [0001]      2.73709
  diagonal                                         [0100]      0.06220
  SpinGC                                           [0500]      2.67126
    trans    in SpinGC                             [0510]      0.45599
      double                                       [0511]      0.00000
      inner                                        [0512]      0.45562
    interall in SpinGC                             [0520]      2.21506
      double                                       [0521]      0.00000
      single                                       [0522]      0.00000
      inner                                        [0523]      2.21387
    exchange in SpinGC                             [0530]      0.00002
      double                                       [0531]      0.00000
      single                                       [0532]      0.00000
      inner                                        [0533]      0.00000
    pairlift in SpinGC                             [0540]      0.00005
      double                                       [0541]      0.00000
      single                                       [0542]      0.00000
      inner                                        [0543]      0.00000
================================================
