j   a   k   b   l   c   <S^a_j S^b_k S^c_l>             
0   0   1   1   2   2         0.0000000000000000      0.0000000000000000
0   0   1   2   2   1         0.0000000000000000      0.0000000000000000
0   1   1   0   2   2         0.0000000000000000      0.0000000000000000
0   1   1   2   2   0         0.0000000000000000      0.0000000000000000
0   2   1   0   2   1         0.0000000000000000      0.0000000000000000
0   2   1   1   2   0         0.0000000000000000      0.0000000000000000
0   0   1   1   3   2         0.0000000000000000      0.0000000000000000
0   0   1   2   3   1         0.0000000000000000      0.0000000000000000
0   1   1   0   3   2         0.0000000000000000      0.0000000000000000
0   1   1   2   3   0         0.0000000000000000      0.0000000000000000
0   2   1   0   3   1         0.0000000000000000      0.0000000000000000
0   2   1   1   3   0         0.0000000000000000      0.0000000000000000
0   0   1   1   4   2         0.0000000000000000      0.0000000000000000
0   0   1   2   4   1         0.0000000000000000      0.0000000000000000
0   1   1   0   4   2         0.0000000000000000      0.0000000000000000
0   1   1   2   4   0         0.0000000000000000      0.0000000000000000
0   2   1   0   4   1         0.0000000000000000      0.0000000000000000
0   2   1   1   4   0         0.0000000000000000      0.0000000000000000
0   0   1   1   5   2         0.0000000000000000      0.0000000000000000
0   0   1   2   5   1         0.0000000000000000      0.0000000000000000
0   1   1   0   5   2         0.0000000000000000      0.0000000000000000
0   1   1   2   5   0         0.0000000000000000      0.0000000000000000
0   2   1   0   5   1         0.0000000000000000      0.0000000000000000
0   2   1   1   5   0         0.0000000000000000      0.0000000000000000
0   0   1   1   6   2         0.0000000000000000      0.0000000000000000
0   0   1   2   6   1         0.0000000000000000      0.0000000000000000
0   1   1   0   6   2         0.0000000000000000      0.0000000000000000
0   1   1   2   6   0         0.0000000000000000      0.0000000000000000
0   2   1   0   6   1         0.0000000000000000      0.0000000000000000
0   2   1   1   6   0         0.0000000000000000      0.0000000000000000
0   0   1   1   7   2         0.0000000000000000      0.0000000000000000
0   0   1   2   7   1         0.0000000000000000      0.0000000000000000
0   1   1   0   7   2         0.0000000000000000      0.0000000000000000
0   1   1   2   7   0         0.0000000000000000      0.0000000000000000
0   2   1   0   7   1         0.0000000000000000      0.0000000000000000
0   2   1   1   7   0         0.0000000000000000      0.0000000000000000
0   0   2   1   3   2         0.0000000000000000      0.0000000000000000
0   0   2   2   3   1         0.0000000000000000      0.0000000000000000
0   1   2   0   3   2         0.0000000000000000      0.0000000000000000
0   1   2   2   3   0         0.0000000000000000      0.0000000000000000
0   2   2   0   3   1         0.0000000000000000      0.0000000000000000
0   2   2   1   3   0         0.0000000000000000      0.0000000000000000
0   0   2   1   4   2         0.0000000000000000      0.0000000000000000
0   0   2   2   4   1         0.0000000000000000      0.0000000000000000
0   1   2   0   4   2         0.0000000000000000      0.0000000000000000
0   1   2   2   4   0         0.0000000000000000      0.0000000000000000
0   2   2   0   4   1         0.0000000000000000      0.0000000000000000
0   2   2   1   4   0         0.0000000000000000      0.0000000000000000
0   0   2   1   5   2         0.0000000000000000      0.0000000000000000
0   0   2   2   5   1         0.0000000000000000      0.0000000000000000
0   1   2   0   5   2         0.0000000000000000      0.0000000000000000
0   1   2   2   5   0         0.0000000000000000      0.0000000000000000
0   2   2   0   5   1         0.0000000000000000      0.0000000000000000
0   2   2   1   5   0         0.0000000000000000      0.0000000000000000
0   0   2   1   6   2         0.0000000000000000      0.0000000000000000
0   0   2   2   6   1         0.0000000000000000      0.0000000000000000
0   1   2   0   6   2         0.0000000000000000      0.0000000000000000
