j   k   a   b   <Q^{a,b}_{j,k}>                 
0   1   0   0        -0.0962250448666667      0.0000000000000000
0   1   0   1         0.0000000000000000      0.0000000000000000
0   1   0   2         0.0000000000000000      0.0000000000000000
0   1   1   1         0.0481125224333333      0.0000000000000000
0   1   1   2         0.0000000000000000      0.0000000000000000
0   1   2   2         0.0481125224333333      0.0000000000000000
0   2   0   0         0.0000000000000000      0.0000000000000000
0   2   0   1         0.0000000000000000      0.0000000000000000
0   2   0   2         0.0000000000000000      0.0000000000000000
0   2   1   1         0.0000000000000000      0.0000000000000000
0   2   1   2         0.0000000000000000      0.0000000000000000
0   2   2   2         0.0000000000000000      0.0000000000000000
0   3   0   0         0.0481125224333333      0.0000000000000000
0   3   0   1         0.0000000000000000      0.0000000000000000
0   3   0   2         0.0000000000000000      0.0000000000000000
0   3   1   1        -0.0962250448666667      0.0000000000000000
0   3   1   2         0.0000000000000000      0.0000000000000000
0   3   2   2         0.0481125224333333      0.0000000000000000
0   4   0   0         0.0000000000000000      0.0000000000000000
0   4   0   1         0.0000000000000000      0.0000000000000000
0   4   0   2         0.0000000000000000      0.0000000000000000
0   4   1   1         0.0000000000000000      0.0000000000000000
0   4   1   2         0.0000000000000000      0.0000000000000000
0   4   2   2         0.0000000000000000      0.0000000000000000
0   5   0   0         0.0481125224333333      0.0000000000000000
0   5   0   1         0.0000000000000000      0.0000000000000000
0   5   0   2         0.0000000000000000      0.0000000000000000
0   5   1   1         0.0481125224333333      0.0000000000000000
0   5   1   2         0.0000000000000000      0.0000000000000000
0   5   2   2        -0.0962250448666667      0.0000000000000000
0   6   0   0         0.0000000000000000      0.0000000000000000
0   6   0   1         0.0000000000000000      0.0000000000000000
0   6   0   2         0.0000000000000000      0.0000000000000000
0   6   1   1         0.0000000000000000      0.0000000000000000
0   6   1   2         0.0000000000000000      0.0000000000000000
0   6   2   2         0.0000000000000000      0.0000000000000000
0   7   0   0         0.0000000000000000      0.0000000000000000
0   7   0   1         0.0000000000000000      0.0000000000000000
0   7   0   2         0.0000000000000000      0.0000000000000000
0   7   1   1         0.0000000000000000      0.0000000000000000
0   7   1   2         0.0000000000000000      0.0000000000000000
0   7   2   2         0.0000000000000000      0.0000000000000000
1   2   0   0         0.0481125224333333      0.0000000000000000
1   2   0   1         0.0000000000000000      0.0000000000000000
1   2   0   2         0.0000000000000000      0.0000000000000000
1   2   1   1        -0.0962250448666667      0.0000000000000000
1   2   1   2         0.0000000000000000      0.0000000000000000
1   2   2   2         0.0481125224333333      0.0000000000000000
1   3   0   0         0.0000000000000000      0.0000000000000000
1   3   0   1         0.0000000000000000      0.0000000000000000
1   3   0   2         0.0000000000000000      0.0000000000000000
1   3   1   1         0.0000000000000000      0.0000000000000000
1   3   1   2         0.0000000000000000      0.0000000000000000
1   3   2   2         0.0000000000000000      0.0000000000000000
1   4   0   0         0.0481125224333333      0.0000000000000000
1   4   0   1         0.0000000000000000      0.0000000000000000
1   4   0   2         0.0000000000000000      0.0000000000000000
1   4   1   1         0.0481125224333333      0.0000000000000000
1   4   1   2         0.0000000000000000      0.0000000000000000
1   4   2   2        -0.0962250448666667      0.0000000000000000
1   5   0   0         0.0000000000000000      0.0000000000000000
1   5   0   1         0.0000000000000000      0.0000000000000000
1   5   0   2         0.0000000000000000      0.0000000000000000
1   5   1   1         0.0000000000000000      0.0000000000000000
1   5   1   2         0.0000000000000000      0.0000000000000000
1   5   2   2         0.0000000000000000      0.0000000000000000
1   6   0   0         0.0000000000000000      0.0000000000000000
1   6   0   1         0.0000000000000000      0.0000000000000000
1   6   0   2         0.0000000000000000      0.0000000000000000
1   6   1   1         0.0000000000000000      0.0000000000000000
1   6   1   2         0.0000000000000000      0.0000000000000000
1   6   2   2         0.0000000000000000      0.0000000000000000
1   7   0   0         0.0000000000000000      0.0000000000000000
1   7   0   1         0.0000000000000000      0.0000000000000000
1   7   0   2         0.0000000000000000      0.0000000000000000
1   7   1   1         0.0000000000000000      0.0000000000000000
1   7   1   2         0.0000000000000000      0.0000000000000000
1   7   2   2         0.0000000000000000      0.0000000000000000
2   3   0   0        -0.0962250448666667      0.0000000000000000
2   3   0   1         0.0000000000000000      0.0000000000000000
2   3   0   2         0.0000000000000000      0.0000000000000000
2   3   1   1         0.0481125224333333      0.0000000000000000
2   3   1   2         0.0000000000000000      0.0000000000000000
2   3   2   2         0.0481125224333333      0.0000000000000000
2   4   0   0         0.0000000000000000      0.0000000000000000
2   4   0   1         0.0000000000000000      0.0000000000000000
2   4   0   2         0.0000000000000000      0.0000000000000000
2   4   1   1         0.0000000000000000      0.0000000000000000
2   4   1   2         0.0000000000000000      0.0000000000000000
2   4   2   2         0.0000000000000000      0.0000000000000000
2   5   0   0         0.0000000000000000      0.0000000000000000
2   5   0   1         0.0000000000000000      0.0000000000000000
2   5   0   2         0.0000000000000000      0.0000000000000000
2   5   1   1         0.0000000000000000      0.0000000000000000
2   5   1   2         0.0000000000000000      0.0000000000000000
2   5   2   2         0.0000000000000000      0.0000000000000000
2   6   0   0         0.0000000000000000      0.0000000000000000
2   6   0   1         0.0000000000000000      0.0000000000000000
2   6   0   2         0.0000000000000000      0.0000000000000000
2   6   1   1         0.0000000000000000      0.0000000000000000
2   6   1   2         0.0000000000000000      0.0000000000000000
